date,weekno,employee_id,name,status
01-04-2022,W 14,Atq -458,Jessie Carrillo,WFO
01-04-2022,W 14,Atq -400,Chad Macias,WFO
01-04-2022,W 14,Atq -437,Dallas Weeks,WFO
01-04-2022,W 14,Atq -369,Greta Horton,WFO
01-04-2022,W 14,Atq -374,Kaley Fitzpatrick,WFO
01-04-2022,W 14,Atq -470,Jovani Pope,WFO
01-04-2022,W 14,Atq -455,Caylee Meadows,WFO
01-04-2022,W 14,Atq -385,Finnegan Gilbert,WFO
01-04-2022,W 14,Atq -387,Konner Henson,WFO
01-04-2022,W 14,Atq -443,Andrew Cummings,WFO
01-04-2022,W 14,Atq -453,Nehemiah Diaz,WFO
01-04-2022,W 14,Atq -376,Dominique Benjamin,WFO
01-04-2022,W 14,Atq -418,Hillary Kirk,WFO
01-04-2022,W 14,Atq -373,Isiah Small,WFO
01-04-2022,W 14,Atq -418,Marquis Wyatt,WFO
01-04-2022,W 14,Atq -414,Titus Andersen,WFO
01-04-2022,W 14,Atq -403,Will Mahoney,WFO
01-04-2022,W 14,Atq -393,Emma Freeman,WFO
01-04-2022,W 14,Atq -367,Briley Orr,WFO
01-04-2022,W 14,Atq -421,Rylee Mullins,WFO
01-04-2022,W 14,Atq -432,Ryann Guerrero,WFO
01-04-2022,W 14,Atq -484,Demarcus Gordon,WFO
01-04-2022,W 14,Atq -428,Ciara Allison,WFO
01-04-2022,W 14,Atq -467,Esperanza Irwin,WFO
01-04-2022,W 14,Atq -396,Karma Reeves,WFO
01-04-2022,W 14,Atq -472,Cristofer Bernard,WFO
01-04-2022,W 14,Atq -412,Tucker Austin,WFO
01-04-2022,W 14,Atq -398,Salvatore Hendrix,WFO
01-04-2022,W 14,Atq -484,Adyson Moyer,WFO
01-04-2022,W 14,Atq -385,Jase Ingram,WFO
01-04-2022,W 14,Atq -456,Adriel Pace,WFO
01-04-2022,W 14,Atq -375,Kenley Marsh,WFO
01-04-2022,W 14,Atq -475,London Kim,WFO
01-04-2022,W 14,Atq -435,Dean Mclaughlin,WFO
01-04-2022,W 14,Atq -348,Weston Horton,WFO
01-04-2022,W 14,Atq -468,Xiomara Ruiz,WFO
01-04-2022,W 14,Atq -368,Macie Callahan,WFO
01-04-2022,W 14,Atq -475,Rey Novak,WFO
01-04-2022,W 14,Atq -375,Hailee Fitzpatrick,WFO
01-04-2022,W 14,Atq -433,Jayce Fuentes,WFO
01-04-2022,W 14,Atq -370,Ella Roth,WFO
01-04-2022,W 14,Atq -423,Rodrigo Price,WFO
01-04-2022,W 14,Atq -438,Miles Fields,WFO
01-04-2022,W 14,Atq -349,Trystan Ortega,WFO
01-04-2022,W 14,Atq -459,Iris Woodard,WFO
01-04-2022,W 14,Atq -419,Faith Hamilton,WFO
01-04-2022,W 14,Atq -446,April Ayers,WFO
01-04-2022,W 14,Atq -334,Boston Morse,WFO
01-04-2022,W 14,Atq -343,Myla Klein,WFO
01-04-2022,W 14,Atq -335,Madelynn Gray,WFO
01-04-2022,W 14,Atq -440,Mckayla Parker,WFO
01-04-2022,W 14,Atq -405,Sofia Solis,WFO
01-04-2022,W 14,Atq -450,Miya Hampton,WFO
